ID_KEC,nama_kota,nama_kecamatan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Kasus Aktif,Tanggal
317407,JAKARTA SELATAN,KEBAYORAN BARU,13876,2,13684,185,5,7,2021-11-23
317405,JAKARTA SELATAN,KEBAYORAN LAMA,20046,1,19681,362,2,3,2021-11-23
317305,JAKARTA BARAT,KEBON JERUK,22082,6,21697,374,5,11,2021-11-23
317206,JAKARTA UTARA,KELAPA GADING,12636,2,12438,192,4,6,2021-11-23
317103,JAKARTA PUSAT,KEMAYORAN,19952,6,19569,373,4,10,2021-11-23
317308,JAKARTA BARAT,KEMBANGAN,20246,3,19935,303,5,8,2021-11-23
310102,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,704,0,694,10,0,0,2021-11-23
310101,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,640,0,634,6,0,0,2021-11-23
317203,JAKARTA UTARA,KOJA,17226,3,16882,337,4,7,2021-11-23
317504,JAKARTA TIMUR,KRAMAT JATI,21627,2,21223,402,0,2,2021-11-23
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,92110,13,91453,616,28,41,2021-11-23
317508,JAKARTA TIMUR,MAKASAR,17474,2,17175,296,1,3,2021-11-23
317403,JAKARTA SELATAN,MAMPANG PRAPATAN,11508,0,11325,179,4,4,2021-11-23
317501,JAKARTA TIMUR,MATRAMAN,14221,0,13938,279,4,4,2021-11-23
317106,JAKARTA PUSAT,MENTENG,6433,0,6313,119,1,1,2021-11-23
317205,JAKARTA UTARA,PADEMANGAN,12874,3,12689,163,19,22,2021-11-23
317307,JAKARTA BARAT,PALMERAH,15833,3,15494,329,7,10,2021-11-23
317408,JAKARTA SELATAN,PANCORAN,14326,3,14095,227,1,4,2021-11-23
317404,JAKARTA SELATAN,PASAR MINGGU,23812,1,23376,426,9,10,2021-11-23
317505,JAKARTA TIMUR,PASAR REBO,17641,4,17311,326,0,4,2021-11-23
317201,JAKARTA UTARA,PENJARINGAN,18632,2,18397,229,4,6,2021-11-23
317410,JAKARTA SELATAN,PESANGGRAHAN,16372,2,16118,252,0,2,2021-11-23
PROSES UPDATE DATA,PROSES UPDATE DATA,PROSES UPDATE DATA,49732,77,48902,655,98,175,2021-11-23
317502,JAKARTA TIMUR,PULO GADUNG,21791,3,21387,400,1,4,2021-11-23
317102,JAKARTA PUSAT,SAWAH BESAR,9155,1,8982,172,0,1,2021-11-23
317104,JAKARTA PUSAT,SENEN,9385,1,9213,168,3,4,2021-11-23
317402,JAKARTA SELATAN,SETIA BUDI,12002,1,11815,183,3,4,2021-11-23
317303,JAKARTA BARAT,TAMAN SARI,8754,0,8614,140,0,0,2021-11-23
317304,JAKARTA BARAT,TAMBORA,14119,2,13860,253,4,6,2021-11-23
317107,JAKARTA PUSAT,TANAH ABANG,11042,3,10809,223,7,10,2021-11-23
317202,JAKARTA UTARA,TANJUNG PRIOK,25760,3,25328,425,4,7,2021-11-23
317401,JAKARTA SELATAN,TEBET,16951,2,16669,278,2,4,2021-11-23
317506,JAKARTA TIMUR,CAKUNG,22656,3,22239,413,1,4,2021-11-24
317105,JAKARTA PUSAT,CEMPAKA PUTIH,10520,3,10346,168,3,6,2021-11-24
317301,JAKARTA BARAT,CENGKARENG,28661,6,28065,559,31,37,2021-11-24
317406,JAKARTA SELATAN,CILANDAK,17691,4,17422,261,4,8,2021-11-24
317204,JAKARTA UTARA,CILINCING,17423,0,17067,340,16,16,2021-11-24
317510,JAKARTA TIMUR,CIPAYUNG,25192,6,24912,267,7,13,2021-11-24
317509,JAKARTA TIMUR,CIRACAS,22506,1,22111,379,15,16,2021-11-24
317507,JAKARTA TIMUR,DUREN SAWIT,29466,3,28851,611,1,4,2021-11-24
317101,JAKARTA PUSAT,GAMBIR,8563,3,8424,134,2,5,2021-11-24
317302,JAKARTA BARAT,GROGOL PETAMBURAN,19082,1,18781,298,2,3,2021-11-24
317409,JAKARTA SELATAN,JAGAKARSA,26592,1,26178,406,7,8,2021-11-24
317503,JAKARTA TIMUR,JATINEGARA,19569,2,19180,383,4,6,2021-11-24
317108,JAKARTA PUSAT,JOHAR BARU,8681,2,8521,157,1,3,2021-11-24
317306,JAKARTA BARAT,KALI DERES,18021,2,17696,316,7,9,2021-11-24
317407,JAKARTA SELATAN,KEBAYORAN BARU,13877,2,13684,185,6,8,2021-11-24
317405,JAKARTA SELATAN,KEBAYORAN LAMA,20046,0,19682,362,2,2,2021-11-24
317305,JAKARTA BARAT,KEBON JERUK,22083,5,21700,374,4,9,2021-11-24
317206,JAKARTA UTARA,KELAPA GADING,12640,5,12439,192,4,9,2021-11-24
317103,JAKARTA PUSAT,KEMAYORAN,19955,4,19572,373,6,10,2021-11-24
317308,JAKARTA BARAT,KEMBANGAN,20246,3,19935,303,5,8,2021-11-24
310102,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,704,0,694,10,0,0,2021-11-24
310101,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,640,0,634,6,0,0,2021-11-24
317203,JAKARTA UTARA,KOJA,17228,4,16882,337,5,9,2021-11-24
317504,JAKARTA TIMUR,KRAMAT JATI,21627,1,21224,402,0,1,2021-11-24
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,92110,4,91485,616,5,9,2021-11-24
317508,JAKARTA TIMUR,MAKASAR,17474,2,17175,296,1,3,2021-11-24
317403,JAKARTA SELATAN,MAMPANG PRAPATAN,11509,0,11325,179,5,5,2021-11-24
317501,JAKARTA TIMUR,MATRAMAN,14224,2,13938,279,5,7,2021-11-24
317106,JAKARTA PUSAT,MENTENG,6433,0,6313,119,1,1,2021-11-24
317205,JAKARTA UTARA,PADEMANGAN,12878,2,12690,163,23,25,2021-11-24
317307,JAKARTA BARAT,PALMERAH,15833,2,15497,329,5,7,2021-11-24
317408,JAKARTA SELATAN,PANCORAN,14326,3,14095,227,1,4,2021-11-24
317404,JAKARTA SELATAN,PASAR MINGGU,23813,2,23376,426,9,11,2021-11-24
317505,JAKARTA TIMUR,PASAR REBO,17641,4,17311,326,0,4,2021-11-24
317201,JAKARTA UTARA,PENJARINGAN,18632,2,18399,229,2,4,2021-11-24
317410,JAKARTA SELATAN,PESANGGRAHAN,16376,6,16118,252,0,6,2021-11-24
PROSES UPDATE DATA,PROSES UPDATE DATA,PROSES UPDATE DATA,49744,60,48953,655,76,136,2021-11-24
317502,JAKARTA TIMUR,PULO GADUNG,21795,5,21387,400,3,8,2021-11-24
317102,JAKARTA PUSAT,SAWAH BESAR,9156,1,8983,172,0,1,2021-11-24
317104,JAKARTA PUSAT,SENEN,9386,1,9214,168,3,4,2021-11-24
317402,JAKARTA SELATAN,SETIA BUDI,12002,0,11816,183,3,3,2021-11-24
317303,JAKARTA BARAT,TAMAN SARI,8754,0,8614,140,0,0,2021-11-24
317304,JAKARTA BARAT,TAMBORA,14121,3,13861,253,4,7,2021-11-24
317107,JAKARTA PUSAT,TANAH ABANG,11042,3,10810,223,6,9,2021-11-24
317202,JAKARTA UTARA,TANJUNG PRIOK,25764,4,25328,425,7,11,2021-11-24
317401,JAKARTA SELATAN,TEBET,16951,1,16669,279,2,3,2021-11-24
317506,JAKARTA TIMUR,CAKUNG,22656,2,22240,413,1,3,2021-11-25
317105,JAKARTA PUSAT,CEMPAKA PUTIH,10521,4,10346,168,3,7,2021-11-25
317301,JAKARTA BARAT,CENGKARENG,28665,4,28072,559,30,34,2021-11-25
317406,JAKARTA SELATAN,CILANDAK,17693,4,17423,261,5,9,2021-11-25
317204,JAKARTA UTARA,CILINCING,17424,0,17067,340,17,17,2021-11-25
317510,JAKARTA TIMUR,CIPAYUNG,25193,5,24913,267,8,13,2021-11-25
317509,JAKARTA TIMUR,CIRACAS,22508,2,22113,379,14,16,2021-11-25
317507,JAKARTA TIMUR,DUREN SAWIT,29468,3,28851,611,3,6,2021-11-25
317101,JAKARTA PUSAT,GAMBIR,8564,3,8424,134,3,6,2021-11-25
317302,JAKARTA BARAT,GROGOL PETAMBURAN,19082,1,18781,298,2,3,2021-11-25
317409,JAKARTA SELATAN,JAGAKARSA,26595,1,26178,406,10,11,2021-11-25
317503,JAKARTA TIMUR,JATINEGARA,19570,2,19180,383,5,7,2021-11-25
317108,JAKARTA PUSAT,JOHAR BARU,8681,2,8521,157,1,3,2021-11-25
317306,JAKARTA BARAT,KALI DERES,18022,2,17696,316,8,10,2021-11-25
317407,JAKARTA SELATAN,KEBAYORAN BARU,13877,2,13684,185,6,8,2021-11-25
317405,JAKARTA SELATAN,KEBAYORAN LAMA,20046,0,19682,362,2,2,2021-11-25
317305,JAKARTA BARAT,KEBON JERUK,22085,7,21700,374,4,11,2021-11-25
317206,JAKARTA UTARA,KELAPA GADING,12641,6,12440,192,3,9,2021-11-25
317103,JAKARTA PUSAT,KEMAYORAN,19955,4,19572,373,6,10,2021-11-25
317308,JAKARTA BARAT,KEMBANGAN,20246,3,19937,303,3,6,2021-11-25
310102,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,704,0,694,10,0,0,2021-11-25
310101,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,640,0,634,6,0,0,2021-11-25
317203,JAKARTA UTARA,KOJA,17229,2,16884,338,5,7,2021-11-25
317504,JAKARTA TIMUR,KRAMAT JATI,21627,1,21224,402,0,1,2021-11-25
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,92113,1,91496,616,0,1,2021-11-25
317508,JAKARTA TIMUR,MAKASAR,17474,2,17175,296,1,3,2021-11-25
317403,JAKARTA SELATAN,MAMPANG PRAPATAN,11509,0,11326,179,4,4,2021-11-25
317501,JAKARTA TIMUR,MATRAMAN,14224,2,13939,279,4,6,2021-11-25
317106,JAKARTA PUSAT,MENTENG,6433,0,6314,119,0,0,2021-11-25
317205,JAKARTA UTARA,PADEMANGAN,12880,1,12691,163,25,26,2021-11-25
317307,JAKARTA BARAT,PALMERAH,15834,1,15498,329,6,7,2021-11-25
317408,JAKARTA SELATAN,PANCORAN,14326,3,14095,227,1,4,2021-11-25
317404,JAKARTA SELATAN,PASAR MINGGU,23815,2,23377,426,10,12,2021-11-25
317505,JAKARTA TIMUR,PASAR REBO,17641,3,17312,326,0,3,2021-11-25
317201,JAKARTA UTARA,PENJARINGAN,18632,2,18399,229,2,4,2021-11-25
317410,JAKARTA SELATAN,PESANGGRAHAN,16376,5,16119,252,0,5,2021-11-25
PROSES UPDATE DATA,PROSES UPDATE DATA,PROSES UPDATE DATA,49762,97,48952,655,58,155,2021-11-25
317502,JAKARTA TIMUR,PULO GADUNG,21796,5,21387,400,4,9,2021-11-25
317102,JAKARTA PUSAT,SAWAH BESAR,9156,1,8983,172,0,1,2021-11-25
317104,JAKARTA PUSAT,SENEN,9386,1,9215,168,2,3,2021-11-25
317402,JAKARTA SELATAN,SETIA BUDI,12002,0,11818,183,1,1,2021-11-25
317303,JAKARTA BARAT,TAMAN SARI,8755,1,8614,140,0,1,2021-11-25
317304,JAKARTA BARAT,TAMBORA,14121,3,13861,253,4,7,2021-11-25
317107,JAKARTA PUSAT,TANAH ABANG,11043,4,10811,223,5,9,2021-11-25
317202,JAKARTA UTARA,TANJUNG PRIOK,25765,4,25330,425,6,10,2021-11-25
317401,JAKARTA SELATAN,TEBET,16952,1,16670,279,2,3,2021-11-25
